,id,ltable_id,rtable_id
4119,8297482,587160,879703
4120,8297486,72748,879703
4121,8297491,614181,879703
4124,8306179,309933,574154
4126,8318901,733789,278496
4131,8337842,188737,786327
4133,8342945,83067,187829
4142,8349191,729917,425479
4143,8349202,114803,425479
4144,8349207,654021,425479
4145,8352983,630948,697049
4149,8371466,410833,205434
4151,8383729,331135,160983
4154,8395191,493128,10739
4169,8433306,630303,17934
4173,8443386,486296,565276
4183,8452985,449512,219751
4185,8465457,579964,109445
4187,8469344,648237,224406
4195,8477057,202298,398584
4196,8478624,708313,304011
4199,8484798,342213,643106
4200,8487931,327248,472337
4202,8488177,101830,893804
4210,8512035,487335,683481
4212,8532640,559546,91361
4215,8547514,281619,896582
4217,8555180,513200,801262
4222,8560398,313585,204396
4238,8590998,219647,730214
4240,8604296,216695,407467
4241,8613672,362221,855151
4243,8627570,552979,32109
4244,8631715,266014,75452
4245,8636166,709519,904581
4246,8636655,684272,677980
4247,8636688,313574,677980
4250,8644507,151138,670788
4251,8644674,638162,670788
4252,8645365,367653,534889
4266,8675436,374967,145651
4273,8711899,465453,141123
4275,8712381,722390,770813
4276,8712382,726089,770813
4277,8721973,722842,402698
4278,8721974,345491,402698
4298,8739311,686911,372115
4299,8739312,695607,372115
4300,8739313,357486,372115
4301,8739314,255896,372115
4303,8746451,666159,687622
4304,8746467,706376,687622
4305,8746481,479286,687622
4311,8759331,303344,221617
4315,8766017,727744,724975
4316,8769632,213171,834538
4319,8782261,686971,547355
4320,8782264,576726,547355
4321,8782267,729859,547355
4322,8782270,726442,547355
4324,8790800,717273,537995
4328,8800979,38022,612819
4332,8810417,638176,452817
4342,8815938,325216,444839
4347,8826375,557277,835549
4350,8839472,679614,735771
4364,8850573,127845,210629
4379,8876269,83028,700012
4387,8885772,303650,759028
4389,8890147,544939,149179
4390,8893293,217948,278419
4392,8902252,149004,852687
4393,8902322,711218,852687
4394,8902365,732925,852687
4395,8902366,732933,852687
4412,8906328,571040,800010
4413,8910869,239235,486461
4414,8917328,348034,122953
4415,8922757,39753,173331
4417,8928954,523658,589840
4421,8936198,188073,715781
4422,8941314,198192,611944
4428,8950257,649540,403071
4429,8958245,556000,948932
4431,8973177,256316,325874
4436,8983708,504146,727139
4437,8983903,655684,696163
4439,8993711,43714,349782
4452,9015332,428405,183022
4453,9017783,600212,402939
4458,9044467,617899,501163
4460,9050587,340593,51314
4465,9059008,625017,820543
4466,9064749,105653,949157
4467,9079091,57320,375764
4474,9107494,457566,336111
4475,9116671,385299,641915
4476,9117030,368438,54681
4487,9138391,617413,808705
4490,9150516,640578,757177
4491,9150996,259670,200417
4493,9163165,79114,848688
4495,9166382,657451,638721
4496,9166390,273270,638721
4497,9167243,560761,571117
4498,9168080,611959,319519
4503,9177915,137187,279356
4505,9215725,430168,809140
4508,9227352,93101,377983
4509,9227975,684226,550768
4521,9244942,505319,760919
4523,9262760,577892,485980
4526,9274197,574571,63072
4533,9291124,419914,547478
4536,9293359,378700,99542
4538,9296588,367613,200125
4550,9307627,76999,94077
4580,9332770,270076,666902
4588,9352327,396097,323677
4589,9352329,675435,323677
4600,9368608,380513,436207
4601,9369195,727728,49462
4602,9370222,511317,864119
4603,9370507,669305,300898
4611,9406458,669610,818740
4612,9407587,444896,441338
4613,9407588,444911,441338
4614,9407593,586820,441338
4624,9440982,172937,410228
4626,9452021,239580,174620
4636,9467179,314400,371335
4638,9476000,282015,468588
4639,9486245,612121,48950
4640,9489300,303380,326626
4641,9489799,210090,425946
4643,9491825,721403,11895
4644,9491827,727183,11895
4649,9519129,258689,271514
4679,9554446,230083,113069
4688,9581822,692577,888809
4690,9598631,408325,799331
4691,9600166,438414,904778
4697,9619930,98917,237803
4706,9634347,704406,207101
4709,9642892,102595,533889
4718,9646038,250176,784946
4725,9663073,560009,232392
4730,9670900,308674,6144
4731,9672385,466646,292541
4738,9686536,216358,357600
4741,9708289,309926,212509
4763,9728531,664612,11807
4766,9735664,175800,616568
4768,9743951,215692,337404
4769,9752846,485382,951230
4771,9783737,710084,925069
4777,9805881,718641,426723
4794,9812112,624278,60994
4795,9816300,723552,475563
4799,9840909,718597,802413
4800,9840980,449223,802413
4803,9859527,560471,687194
4805,9866880,714751,120503
4806,9869342,712681,229670
4807,9869723,210946,498430
4808,9870070,193161,865161
4812,9882796,528914,617533
4825,9906496,412970,580672
4831,9957623,329917,16689
4832,9958506,273631,210367
4836,9965796,604048,907002
4838,9967327,613737,823243
4842,9978976,218710,788358
4845,9988555,651325,498324
4846,9990533,304460,778596
4847,10005663,709971,380150
4873,10058106,25327,677199
4874,10066089,722754,144277
4875,10066095,506305,144277
4878,10077119,177513,518788
4879,10087453,448491,687408
4881,10098577,718053,772929
4882,10105202,628142,216781
4897,10117743,254143,723489
4911,10122627,470964,502282
4916,10128165,261937,649684
4923,10187767,352060,119062
4924,10190275,700485,175705
4925,10196612,456075,864453
4928,10202500,730816,628861
4929,10202508,682308,628861
4932,10211836,35272,593753
4937,10224302,55803,484144
4938,10229261,48540,570887
4971,10242495,688300,812627
4977,10243134,603981,402859
4992,10259151,623528,408025
