id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year
1363,7265.0,756132.0,the bling ring,"[2013, 2009]",the ring thing,2015.0
1365,1207.0,361243.0,just a kiss,"[2002, 1998]",just a kid,2002.0
1374,3913.0,204001.0,dreamtime,"[2002, 2001]",dreamtime,2007.0
1376,39.0,691153.0,the 40 year old virgin,"[2005, 1988]",the 40 year old virgin,2005.0
1377,4733.0,691153.0,the 40 year old virgin,"[2005, 1983]",the 40 year old virgin,2005.0
1378,425.0,691153.0,the 40 year old virgin,"[2005, 1988]",the 40 year old virgin,2005.0
1385,4316.0,728075.0,the dream,"[2014, 2003]",the impossible dream,2017.0
1386,879.0,728075.0,the dream,"[2014, 2003]",the impossible dream,2017.0
1387,499.0,480340.0,mad money,"[2008, 1971]",money,2005.0
1388,6350.0,314796.0,how i got into college,"[1989, 1987]",how i got into college,1989.0
1393,1973.0,772820.0,the voice,"[2012, 1974]",the voice box,2010.0
1394,1360.0,772820.0,the voice uk,"[2012, 2007]",the voice box,2010.0
1395,4448.0,772820.0,the box,2009,the voice box,2010.0
1404,4681.0,729034.0,the invisible circus,"[2001, 2005]",the invisible,2007.0
1405,5580.0,729034.0,griff the invisible,"[2010, 2009]",the invisible,2007.0
1406,627.0,384432.0,l�cume des jours,"[2013, 1999]",l'?cume des jours,2013.0
1409,4882.0,438573.0,lost,"[2004, 1965]",lost,2007.0
1410,3570.0,438573.0,lost,"[2004, 1998]",lost,2007.0
1415,895.0,36508.0,apocalypse,"[1998, 1993]",adam's apocalypse,2003.0
1418,5690.0,839143.0,welcome to the 80s,"[2009, 1981]",welcome to the bathtub,2011.0
1419,1134.0,839143.0,welcome to the 80s,"[2009, 1998]",welcome to the bathtub,2011.0
1420,3244.0,839143.0,welcome to the 80s,"[2009, 1986]",welcome to the bathtub,2011.0
1421,174.0,839143.0,welcome to the 80s,"[2009, 1988]",welcome to the bathtub,2011.0
1422,2251.0,839143.0,welcome to the 80s,"[2009, 1985]",welcome to the bathtub,2011.0
1423,3814.0,839143.0,welcome to the 80s,"[2009, 2006]",welcome to the bathtub,2011.0
1424,1817.0,839143.0,welcome to the 80s,"[2009, 1980]",welcome to the bathtub,2011.0
1425,837.0,839143.0,welcome to the 80s,2009,welcome to the bathtub,2011.0
1426,1894.0,839143.0,welcome to the 80s,"[2009, 2006]",welcome to the bathtub,2011.0
1427,2414.0,839143.0,welcome to the 80s,"[2009, 1981]",welcome to the bathtub,2011.0
1428,6805.0,839143.0,welcome to the 80s,"[2009, 1992]",welcome to the bathtub,2011.0
1429,5001.0,839143.0,welcome to the 80s,"[2009, 1988]",welcome to the bathtub,2011.0
1430,4565.0,839143.0,welcome to the 80s,2009,welcome to the bathtub,2011.0
